,601600,603988,603088
2018-03-02,-0.020183,0.1,-0.05952
2018-03-05,-0.029963,0.100132,-0.0061
2018-03-06,0.065637,0.038922,0.001151
2018-03-07,-0.036232,0.017291,-0.002299
2018-03-08,-0.005639,-0.021813,-0.004224
2018-03-09,-0.00189,-0.004634,0.027767
2018-03-12,0.015152,0.015711,0.036398
2018-03-13,-0.014925,-0.001719,0.032585
2018-03-14,0.020833,-0.048207,-0.023492
2018-03-15,-0.011132,-0.05517,-0.02693
2018-03-16,-0.018762,0.001276,0.01476
2018-03-19,-0.00956,0.003824,-0.014182
2018-03-20,-0.015444,-0.009841,-0.016599
2018-03-21,0.001961,-0.018275,-0.012753
2018-03-22,0.003914,-0.008491,0.00114
2018-03-23,-0.035088,-0.077734,-0.049715
2018-03-26,-0.028283,0.1,-0.002396
2018-03-27,0.006237,0.027597,0.02442
2018-03-28,-0.02686,-0.010742,-0.01485
2018-03-29,0.019108,0.003833,0.019833
2018-03-30,-0.014583,0.020045,-0.005056
